                        Metric	           Mean	         Median	            Std	   1st quartile	      3rd quart
                load_batch_mem:	         0.1721	         0.1125	         0.1557	         0.0612	         0.2356
                load_batch_gpu:	         0.0011	         0.0011	            0.0	         0.0011	         0.0011
            model_forward_pass:	         0.0094	         0.0094	         0.0003	         0.0093	         0.0095
              loss_tensor_calc:	         0.1407	         0.1407	         0.0005	         0.1404	          0.141
           model_backward_pass:	          0.009	         0.0089	         0.0002	         0.0088	         0.0091
              model_optim_step:	         0.0081	          0.008	         0.0007	         0.0079	         0.0081
              cum_loss_fn_calc:	         0.3763	         0.3762	         0.0015	         0.3754	         0.3772
                   all_compute:	         0.5449	         0.5445	         0.0093	         0.5435	         0.5457
                      step_end:	          0.719	          0.659	          0.156	         0.6075	         0.7825
                        Metric	           Mean	         Median	            Std	   1st quartile	      3rd quart
                load_batch_mem:	         0.1718	         0.1113	         0.1564	         0.0606	         0.2346
                load_batch_gpu:	         0.0011	         0.0011	            0.0	         0.0011	         0.0011
            model_forward_pass:	         0.0098	         0.0097	         0.0002	         0.0097	         0.0098
              loss_tensor_calc:	         0.1405	         0.1405	         0.0004	         0.1402	         0.1408
           model_backward_pass:	         0.0093	         0.0092	         0.0003	          0.009	         0.0095
              model_optim_step:	          0.008	         0.0079	         0.0002	         0.0079	          0.008
              cum_loss_fn_calc:	         0.3763	         0.3763	         0.0014	         0.3754	         0.3772
                   all_compute:	          0.545	         0.5449	         0.0015	         0.5438	          0.546
                      step_end:	         0.7189	          0.659	         0.1564	         0.6078	         0.7823
